Name,Position Title,Agency Name,Agency Website,Nomination Date,Renomination,Confirmation Vote,Confirmed,Holdover
"Alonso, Jorge Luis",United States District Judge for the Northern District of Illinois,Federal Judiciary,Federal Judges (http://www.uscourts.gov),08-05-14,,12/16/2014,1,
"Azrack, Joan Marie",United States District Judge for the Eastern District of New York,Federal Judiciary,Federal Judges (http://www.uscourts.gov),09/18/2014,,12/16/2014,1,
"Bentley III, Arthur Lee",United States Attorney for the Middle District of Florida,"Office of the U.S. Attorneys, Department of Justice",DOJ-USA (http://www.justice.gov/usao),06/19/2014,,12/16/2014,1,
"Biggs, Loretta Copeland",United States District Judge for the Middle District of North Carolina,Federal Judiciary,Federal Judges (http://www.uscourts.gov),09/18/2014,,12/16/2014,1,
"Blakey, John Robert",United States District Judge for the Northern District of Illinois,Federal Judiciary,Federal Judges (http://www.uscourts.gov),08-05-14,,12/16/2014,1,
"Bough, Stephen R.",United States District Judge for the Western District of Missouri,Federal Judiciary,Federal Judges (http://www.uscourts.gov),01/16/2014,,12/16/2014,1,
"Burroughs, Allison Dale",United States District Judge for the District of Massachusetts,Federal Judiciary,Federal Judges (http://www.uscourts.gov),07/31/2014,,12/16/2014,1,
"Dillon, Elizabeth K.",United States District Judge for the Western District of Virginia,Federal Judiciary,Federal Judges (http://www.uscourts.gov),09/18/2014,,12/16/2014,1,
"Gilliam, Jr., Haywood Stirling",United States District Judge for the Northern District of California,Federal Judiciary,Federal Judges (http://www.uscourts.gov),09-08-14,,12/16/2014,1,
"Mazzant III, Amos L.",United States District Judge for the Eastern District of Texas,Federal Judiciary,Federal Judges (http://www.uscourts.gov),06/26/2014,,12/16/2014,1,
"Mehta, Amit Priyavadan",United States District Judge for the District of Columbia,Federal Judiciary,Federal Judges (http://www.uscourts.gov),07/31/2014,,12/16/2014,1,
"Pitman, Robert Lee",United States District Judge for the Western District of Texas,Federal Judiciary,Federal Judges (http://www.uscourts.gov),06/26/2014,,12/16/2014,1,
"Rivera, David",United States Attorney for the Middle District of Tennessee,"Office of the U.S. Attorneys, Department of Justice",DOJ-USA (http://www.justice.gov/usao),06/19/2014,,12/16/2014,1,
"Schroeder III, Robert William",United States District Judge for the Eastern District of Texas,Federal Judiciary,Federal Judges (http://www.uscourts.gov),06/26/2014,,12/16/2014,1,
"Griggsby, Lydia Kay",Judge of the United States Court of Federal Claims,Federal Judiciary,Federal Judges (http://www.uscourts.gov),04-10-14,,12-04-14,1,
"Stivers, Gregory N.",United States District Judge for the Western District of Kentucky,Federal Judiciary,Federal Judges (http://www.uscourts.gov),06/19/2014,,12-04-14,1,
"Leeson, Jr., Joseph F.",United States District Judge for the Eastern District of Pennsylvania,Federal Judiciary,Federal Judges (http://www.uscourts.gov),06/16/2014,,12-04-14,1,
"Hale, David J.",United States District Judge for the Western District of Kentucky,Federal Judiciary,Federal Judges (http://www.uscourts.gov),06/19/2014,,12-03-14,1,
"Kearney, Mark A.",United States District Judge for the Eastern District of Pennsylvania,Federal Judiciary,Federal Judges (http://www.uscourts.gov),06/16/2014,,12-03-14,1,
"Pappert, Gerald J.",United States District Judge for the Eastern District of Pennsylvania,Federal Judiciary,Federal Judges (http://www.uscourts.gov),06/16/2014,,12-03-14,1,
"Arleo, Madeline Cox",United States District Judge for the District of New Jersey,Federal Judiciary,Federal Judges (http://www.uscourts.gov),06/26/2014,,11/20/2014,1,
"Bolden, Victor Allen",United States District Judge for the District of Connecticut,Federal Judiciary,Federal Judges (http://www.uscourts.gov),06/16/2014,,11/20/2014,1,
"Sannes, Brenda K.",United States District Judge for the Northern District of New York,Federal Judiciary,Federal Judges (http://www.uscourts.gov),05-08-14,,11/20/2014,1,
"Beetlestone, Wendy",United States District Judge for the Eastern District of Pennsylvania,Federal Judiciary,Federal Judges (http://www.uscourts.gov),06/16/2014,,11/20/2014,1,
"Pepper, Pamela",United States District Judge for the Eastern District of Wisconsin,Federal Judiciary,Federal Judges (http://www.uscourts.gov),05-01-14,,11/20/2014,1,
"Abrams, Leslie Joyce",United States District Judge for the Middle District of Georgia,Federal Judiciary,Federal Judges (http://www.uscourts.gov),03-11-14,,11/18/2014,1,
"Cohen, Mark Howard",United States District Judge for the Northern District of Georgia,Federal Judiciary,Federal Judges (http://www.uscourts.gov),01-06-14,1,11/18/2014,1,
"Ross, Eleanor Louise",United States District Judge for the Northern District of Georgia,Federal Judiciary,Federal Judges (http://www.uscourts.gov),01-06-14,1,11/18/2014,1,
"May, Leigh Martin",United States District Judge for the Northern District of Georgia,Federal Judiciary,Federal Judges (http://www.uscourts.gov),01-06-14,1,11/13/2014,1,
"Moss, Randolph D.",United States District Judge for the District of Columbia,Federal Judiciary,Federal Judges (http://www.uscourts.gov),04-03-14,,11/13/2014,1,
"Pryor, Jill A.",United States Circuit Judge for the Eleventh Circuit,Federal Judiciary,Federal Judges (http://www.uscourts.gov),01-06-14,1,09-08-14,1,
"Harris, Pamela",United States Circuit Judge for the Fourth Circuit,Federal Judiciary,Federal Judges (http://www.uscourts.gov),05-08-14,,07/28/2014,1,
"Birotte, Jr., Andre",United States District Judge for the Central District of California,Federal Judiciary,Federal Judges (http://www.uscourts.gov),04-03-14,,07/22/2014,1,
"deGravelles, John W.",United States District Judge for the Middle District of Louisiana,Federal Judiciary,Federal Judges (http://www.uscourts.gov),03/13/2014,,07/22/2014,1,
"Rosenberg, Robin L.",United States District Judge for the Southern District of Florida,Federal Judiciary,Federal Judges (http://www.uscourts.gov),02/26/2014,,07/22/2014,1,
"Carnes, Julie E.",United States Circuit Judge for the Eleventh Circuit,Federal Judiciary,Federal Judges (http://www.uscourts.gov),01-06-14,1,07/21/2014,1,
"White, Ronnie L.",United States District Judge for the Eastern District of Missouri,Federal Judiciary,Federal Judges (http://www.uscourts.gov),01-06-14,1,07/16/2014,1,
"Krause, Cheryl Ann",United States Circuit Judge for the Third Circuit,Federal Judiciary,Federal Judges (http://www.uscourts.gov),02-06-14,,07-07-14,1,
"Crawford, Geoffrey W.",United States District Judge for the District of Vermont,Federal Judiciary,Federal Judges (http://www.uscourts.gov),05/20/2014,,06/24/2014,1,
"Bloom, Beth",United States District Judge for the Southern District of Florida,Federal Judiciary,Federal Judges (http://www.uscourts.gov),02-06-14,,06/24/2014,1,
"Byron, Paul G.",United States District Judge for the Middle District of Florida,Federal Judiciary,Federal Judges (http://www.uscourts.gov),02-06-14,,06/24/2014,1,
"Mendoza, Carlos Eduardo",United States District Judge for the Middle District of Florida,Federal Judiciary,Federal Judges (http://www.uscourts.gov),02-06-14,,06/24/2014,1,
"Gayles, Darrin P.",United States District Judge for the Southern District of Florida,Federal Judiciary,Federal Judges (http://www.uscourts.gov),02-06-14,,06/17/2014,1,
"Mendoza, Jr., Salvador",United States District Judge for the Eastern District of Washington,Federal Judiciary,Federal Judges (http://www.uscourts.gov),01/16/2014,,06/17/2014,1,
"Yandle, Staci Michelle",United States District Judge for the Southern District of Illinois,Federal Judiciary,Federal Judges (http://www.uscourts.gov),01/16/2014,,06/17/2014,1,
"Boulware II, Richard Franklin",United States District Judge for the District of Nevada,Federal Judiciary,Federal Judges (http://www.uscourts.gov),01/16/2014,,06-10-14,1,
"Lauck, M. Hannah",United States District Judge for the Eastern District of Virginia,Federal Judiciary,Federal Judges (http://www.uscourts.gov),01-06-14,1,06-10-14,1,
